year,pasajeros[mill]
1970,1861.136252
1971,1991.474124
1972,1829.85374
1973,2402.9082
1974,2871.2444
1975,2986.0314
1976,3275.743776
1977,3564.509452
1978,3992.771624
1979,4494.4864
1980,4500.151928
1981,4532.0365
1982,4641.009848
1983,4847.648976
1984,5167.699228
1985,5504.614324
1986,5895.867876
1987,6317.015424
1988,6668.411872
1989,6849.2608
1990,7152.148996
1991,8397.346224
1992,8602.714052
1993,8477.706396
1994,9129.877024
1995,9652.856217
1996,10266.247824
1997,10739.957252
1998,10815.89658
1999,11456.9103
2000,12257.139599
2001,12268.419078
2002,12081.797047
2003,12441.145699
2004,14226.430263
2005,14938.253442
2006,15861.541332
2007,17068.177808
2008,17225.760171
2009,17703.937048
2010,21167.036948223624
2011,22701.56019334886
2012,23827.860340683746
2013,25241.798215549006
2014,26839.085348351433
2015,29005.057286
2016,31118.165
2017,33584.51566171373
2018,36137.08605775467
2019,38568.73427402086
2020,15991.848807095861
